,Drive Time,System Rating (kW DC),Roof Type,Tilt 1,Portrait / Landscape,Consumption Monitoring,Module Width,Inverter Manufacturer,Rough Electrical Inspection,Azimuth 1,Total Direct Time for Project for Hourly Employees (Including Drive Time),Install Season,Total # of Hourly Employees on Site,Azimuth 3,Squirrel Screen,# of Arrays,Module Weight,Reinforcements,Interconnection Type,Module Length,Truss / Rafter,Estimated Total # of People on Site,# of Reinforcement,Tilt 2,Panel QTY,Azimuth 2,Array Type,# of Stories,Attachment Type
234,1860,10.14,0,18.4,0,True,43.15,1.0,False,189.0,99000,3,3.0,,True,2.0,46.3,False,1,69.06,0,3.0,0.0,,26.0,99.0,0,1.0,3
235,540,6.8,3,19.3,0,True,40.9,1.0,True,180.0,167400,3,5.0,,False,2.0,48.0,True,7,74.8,1,5.0,16.0,,17.0,90.0,0,1.0,5
236,2820,6.4,0,22.0,0,True,40.9,1.0,False,260.0,142200,3,5.0,,True,1.0,48.0,False,3,74.8,3,5.0,0.0,,16.0,,0,1.0,2
237,1140,8.8,0,26.0,0,True,40.9,1.0,False,208.0,161100,3,5.0,,True,2.0,48.0,False,3,74.8,0,5.0,0.0,,22.0,116.0,0,1.0,2
238,1260,10.66,0,33.7,0,True,44.65,1.0,False,160.0,214200,3,4.0,,True,1.0,47.0,False,10,69.37,0,4.0,0.0,,26.0,,0,2.0,3
239,480,5.6,0,18.0,0,True,40.9,1.0,True,180.0,202500,3,6.0,,True,1.0,48.0,True,0,74.8,1,6.0,8.0,,14.0,,0,1.0,3
240,1560,4.8,0,27.0,0,False,40.9,1.0,True,221.0,93600,1,5.0,,True,2.0,48.0,False,1,74.8,0,5.0,0.0,,12.0,,0,1.0,3
241,1560,4.8,0,27.0,0,False,40.9,1.0,True,271.0,94500,1,3.0,,True,1.0,48.0,False,1,74.8,0,3.0,0.0,,12.0,,0,1.0,3
242,1560,4.8,0,27.0,0,False,40.9,1.0,True,125.0,94500,1,5.0,,True,1.0,48.0,False,3,74.8,0,5.0,0.0,,12.0,,0,1.0,3
243,1620,4.8,0,27.0,0,False,40.9,1.0,True,146.0,94500,1,2.0,,True,1.0,48.0,False,1,74.8,0,2.0,0.0,,12.0,,0,1.0,3
244,1500,8.4,0,26.0,2,True,40.9,1.0,False,180.0,138600,3,5.0,,True,4.0,47.8,False,1,73.4,0,5.0,0.0,,20.0,,0,2.0,3
245,1440,12.88,0,18.0,1,True,47.4,1.0,True,179.0,198000,2,5.0,,True,3.0,50.0,False,1,68.0,1,5.0,0.0,27.0,28.0,269.0,0,1.0,3
246,1320,10.66,0,18.0,0,True,44.65,1.0,True,90.0,187200,1,5.0,,True,2.0,47.0,True,1,69.37,1,5.0,2.0,,26.0,180.0,0,1.0,3
247,1620,16.17,0,27.0,0,False,39.45,1.0,False,220.0,300600,3,5.0,220.0,True,4.0,49.6,False,12,79.06,0,5.0,0.0,,42.0,140.0,0,1.0,0
248,1440,11.935,0,14.0,0,False,39.45,1.0,False,280.0,276300,3,5.0,,True,3.0,49.6,False,11,79.06,0,5.0,0.0,,31.0,100.0,0,2.0,3
249,900,16.56,0,33.0,2,True,47.4,1.0,False,290.0,338400,3,4.0,,True,7.0,50.0,False,6,68.0,0,5.0,0.0,,36.0,200.0,0,2.0,3
250,2460,8.8,0,26.0,0,True,40.9,1.0,False,90.0,153000,3,5.0,,True,3.0,48.0,False,1,74.8,0,5.0,0.0,,22.0,,0,2.0,3
251,420,4.14,0,22.0,2,False,47.4,1.0,True,91.0,141300,3,5.0,,True,1.0,50.0,True,1,68.0,1,5.0,9.0,,9.0,181.0,0,1.0,3
252,1200,3.36,0,40.0,0,True,40.9,1.0,True,179.0,172800,3,5.0,,True,1.0,47.8,True,4,73.4,1,5.0,21.0,,8.0,,0,1.0,2
253,1500,8.4,0,25.0,0,True,40.9,1.0,True,89.0,146700,3,5.0,,True,2.0,48.0,False,1,74.8,0,5.0,0.0,,21.0,269.0,0,2.0,3
254,1440,16.56,0,19.0,1,True,47.4,1.0,True,180.0,339300,3,5.0,,True,3.0,50.0,False,6,68.0,0,5.0,0.0,17.0,36.0,,0,2.0,3
255,1200,4.25,0,18.4,0,False,44.6,1.0,True,180.0,117900,3,4.0,,True,1.0,46.7,True,4,67.8,1,4.0,4.0,,10.0,,0,1.0,2
256,840,9.2,0,27.0,0,True,40.9,1.0,False,94.0,146700,3,5.0,,True,2.0,48.0,False,1,74.8,0,5.0,0.0,,23.0,184.0,0,1.0,3
257,1380,7.36,0,20.0,1,True,47.4,1.0,True,180.0,155700,3,5.0,,True,1.0,50.0,False,1,68.0,1,5.0,0.0,,16.0,,0,1.0,3
258,1320,7.2,0,34.0,0,True,40.9,1.0,True,227.0,138600,3,4.0,,True,1.0,48.0,True,6,74.8,1,4.0,15.0,,18.0,,0,2.0,2
259,1860,9.2,0,27.0,0,True,40.9,1.0,False,102.0,134100,3,4.0,,True,2.0,48.0,False,1,74.8,0,4.0,0.0,,23.0,282.0,0,2.0,3
260,1320,7.2,0,18.0,0,True,40.9,1.0,True,258.0,136800,3,5.0,,True,2.0,48.0,True,1,74.8,1,5.0,6.0,,18.0,78.0,0,1.0,3
261,2400,5.74,0,39.0,2,False,44.65,1.0,False,179.0,146700,3,5.0,,True,1.0,47.0,False,1,69.37,1,5.0,0.0,,14.0,,0,1.0,3
262,2820,8.4,2,18.4,1,False,40.9,1.0,False,182.0,162000,3,5.0,,False,1.0,48.0,False,2,74.8,2,5.0,0.0,,21.0,,0,1.0,4
263,1140,10.4,0,18.4,2,True,40.9,1.0,False,181.0,98100,3,4.0,,True,2.0,48.0,False,1,74.8,0,4.0,0.0,,26.0,,0,2.0,3
264,1860,10.0,0,33.0,2,True,40.9,1.0,False,165.0,164700,3,5.0,,True,1.0,48.0,False,1,74.8,0,5.0,0.0,,25.0,,0,1.0,3
265,1680,7.2,0,18.4,0,True,40.9,1.0,False,180.0,129600,2,5.0,,True,1.0,48.0,False,0,74.8,0,5.0,0.0,,18.0,,0,0.0,3
266,1500,3.2,3,26.0,0,True,40.9,1.0,True,179.0,138600,2,5.0,,False,1.0,48.0,False,1,74.8,0,5.0,0.0,,8.0,,0,2.0,5
267,1560,4.8,0,25.0,0,False,40.9,1.0,True,144.0,100200,3,5.0,,True,2.0,48.0,False,1,74.8,0,5.0,0.0,,12.0,234.0,0,1.0,3
268,1560,4.8,0,25.0,0,False,40.9,1.0,True,229.0,100200,3,5.0,,True,2.0,48.0,False,1,74.8,0,5.0,0.0,,12.0,139.0,0,1.0,3
269,1560,4.8,0,25.0,0,False,40.9,1.0,True,149.0,100200,3,5.0,,True,2.0,48.0,False,1,74.8,0,5.0,0.0,,12.0,239.0,0,1.0,3
270,1560,4.8,0,25.0,0,False,40.9,1.0,True,133.0,100200,3,4.0,,True,1.0,48.0,False,1,74.8,0,4.0,0.0,,12.0,,0,1.0,3
271,2160,8.82,0,38.0,2,True,40.9,1.0,False,179.0,306000,3,5.0,,True,1.0,47.8,True,1,73.4,1,5.0,14.0,,21.0,,0,2.0,2
272,1380,23.0,3,22.0,2,True,47.4,1.0,True,90.0,667800,2,5.0,270.0,False,6.0,50.0,True,6,68.0,1,5.0,26.0,,50.0,180.0,0,1.0,5
273,2520,7.36,0,15.0,0,True,47.4,1.0,False,180.0,207900,2,5.0,,True,1.0,50.0,False,12,68.0,0,5.0,0.0,,16.0,,0,1.0,3
274,1560,5.6,0,30.3,0,True,40.9,1.0,False,158.0,154800,2,5.0,,True,2.0,48.0,False,1,74.8,0,5.0,0.0,,14.0,,0,2.0,3
275,3060,11.7,0,39.0,0,True,47.4,1.0,False,163.0,352800,2,5.0,70.0,True,4.0,50.0,False,4,68.0,0,5.0,0.0,,26.0,250.0,0,3.0,3
276,420,3.68,0,,0,False,47.4,1.0,True,,135900,2,5.0,,True,2.0,50.0,False,0,68.0,1,5.0,0.0,,8.0,,0,1.0,3
